class,pairs,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17
1,qid:1001,0,0,0,1,1,2,0,2,0,0,4,12,2,4,1,1.5,2
0,qid:1001,0,1,1,2,0,0,0,1,0,0,5,12,2,5,1,1.8,2
1,qid:1002,1,0,1,0,0,1,0,0,0,0,2,6,1,2,0,1.5,2
0,qid:1002,1,0,1,2,2,4,0,0,0,0,7,19,0,7,2,1.7,3
1,qid:1003,0,0,0,0,2,1,0,0,0,0,5,11,0,4,1,2.3,3
0,qid:1003,0,0,0,0,2,5,0,0,0,1,5,13,0,5,2,1.4,2
1,qid:1004,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
0,qid:1004,0,1,0,0,2,5,0,1,0,1,7,17,0,7,3,1.7,3
0,qid:1005,0,0,1,0,2,4,0,0,0,1,7,17,0,7,2,2.7,4
1,qid:1005,0,0,0,0,3,3,0,0,0,4,1,11,0,3,1,1.7,2
1,qid:1006,1,0,1,0,1,3,0,0,0,1,4,14,3,6,2,2.7,3
0,qid:1006,0,0,0,0,1,5,0,1,1,1,2,11,0,4,2,1,1
1,qid:1007,0,0,0,1,0,1,0,0,0,0,2,4,0,1,1,1,1
0,qid:1007,0,0,0,0,1,2,0,0,0,0,3,6,0,1,0,1,1
1,qid:1008,0,0,2,1,1,1,0,0,0,1,4,12,2,5,2,1.8,3
0,qid:1008,1,1,0,1,3,4,0,0,0,0,9,22,1,8,5,2.4,3
0,qid:1009,0,0,2,0,1,1,0,0,0,1,4,10,1,3,2,1.3,2
1,qid:1009,0,0,0,0,1,1,0,0,0,1,3,7,1,2,2,1.5,2
1,qid:1010,0,0,0,0,2,1,0,1,0,0,3,7,0,3,2,1.3,2
0,qid:1010,1,1,0,1,3,1,0,1,0,0,6,14,0,7,2,1.4,2
0,qid:1011,0,1,0,2,4,3,0,1,0,0,5,17,1,9,4,2.4,4
1,qid:1011,0,0,1,0,0,5,0,0,0,1,2,9,0,3,2,1,1
0,qid:1012,0,0,1,3,1,2,0,0,0,0,8,19,1,8,2,2.3,4
1,qid:1012,1,0,0,1,2,6,0,0,1,0,6,20,3,9,2,2.1,4
1,qid:1013,0,0,0,0,1,1,0,0,0,0,3,5,0,0,1,0,0
0,qid:1013,1,0,0,0,0,0,0,0,0,0,3,6,0,1,0,1,1
1,qid:1014,1,1,0,1,0,6,0,1,0,1,6,18,1,9,4,1.2,2
0,qid:1014,2,0,1,0,2,6,0,0,0,1,8,21,1,10,5,1.6,3
1,qid:1015,0,0,0,0,2,0,0,0,0,0,1,3,0,0,1,0,0
0,qid:1015,0,0,0,0,2,2,0,0,0,0,4,9,1,5,2,1.6,3
0,qid:1016,1,0,2,1,1,4,0,0,0,1,4,17,2,8,2,1.8,2
1,qid:1016,0,0,0,2,1,2,0,1,0,0,5,12,1,5,1,2,3
0,qid:1017,1,0,0,2,1,4,0,1,0,0,7,17,1,7,2,2.7,4
1,qid:1017,1,0,0,2,0,1,0,1,1,0,4,15,4,5,1,2.6,4
0,qid:1018,0,0,1,0,3,3,0,0,0,0,6,14,0,6,2,1.5,2
1,qid:1018,1,0,0,0,0,5,0,0,0,1,4,12,1,4,3,2.3,3
0,qid:1019,1,0,0,0,1,2,0,0,0,1,4,11,1,4,1,2,3
1,qid:1019,1,0,1,0,0,4,0,0,0,0,3,9,0,4,1,1.8,3
1,qid:1020,0,0,0,0,1,1,0,1,0,1,2,7,1,3,1,1,1
0,qid:1020,0,2,0,1,0,1,0,1,0,1,5,13,1,5,2,2.2,3
1,qid:1021,0,0,0,1,1,2,0,1,0,0,4,10,1,5,1,1.2,2
0,qid:1021,0,1,1,2,3,3,0,0,0,0,7,18,1,9,4,1.4,3
0,qid:1022,0,2,0,0,0,1,0,1,0,1,4,11,1,4,2,2,3
1,qid:1022,1,0,0,0,1,2,0,0,1,0,2,7,0,5,2,2.2,4
0,qid:1023,0,0,1,0,2,2,0,0,0,0,8,18,1,7,1,1.7,2
1,qid:1023,0,0,1,0,1,3,0,0,0,0,5,14,3,6,2,1.5,2
0,qid:1024,1,0,1,2,2,0,0,0,0,1,4,12,0,4,3,2,2
1,qid:1024,1,0,1,0,0,3,0,0,0,0,2,9,2,4,0,1.8,3
0,qid:1025,0,0,0,0,1,2,0,0,0,1,2,7,1,2,1,1.5,2
1,qid:1025,0,0,0,1,1,1,0,0,0,1,1,5,0,1,1,1,1
0,qid:1026,0,0,1,0,1,5,0,0,0,2,10,20,1,7,3,1.4,3
1,qid:1026,0,0,0,1,2,3,0,0,0,1,6,13,0,4,2,1.8,3
1,qid:1027,1,0,0,1,0,5,0,0,0,0,5,13,1,5,1,2.4,3
0,qid:1027,1,0,0,0,0,2,0,0,0,2,5,10,0,3,1,1.3,2
1,qid:1028,1,0,0,0,1,4,0,0,0,2,4,12,0,5,2,2,3
0,qid:1028,0,0,0,0,1,3,0,1,0,1,7,15,2,5,3,1.8,2
0,qid:1029,0,0,0,1,2,2,0,0,0,2,4,12,1,4,4,1,1
1,qid:1029,0,0,0,0,1,2,0,0,1,0,2,6,0,2,1,1.5,2
1,qid:1030,0,0,0,2,1,1,0,0,0,0,4,9,1,3,0,2,3
0,qid:1030,0,1,0,0,0,2,0,0,1,0,4,11,3,5,1,1.4,2
1,qid:1031,0,0,0,0,1,1,0,0,0,0,2,4,0,2,0,1.5,2
0,qid:1031,0,0,0,0,2,2,0,0,0,1,4,9,0,3,1,2,3
0,qid:1032,1,0,0,1,3,1,0,0,0,1,6,14,1,5,1,2,2
1,qid:1032,0,0,0,0,1,2,0,0,0,1,1,5,0,2,1,1.5,2
0,qid:1033,1,1,2,3,0,1,0,0,0,2,7,20,2,8,3,2.4,4
1,qid:1033,1,0,0,1,1,1,0,0,0,0,6,11,2,4,2,1.8,3
0,qid:1034,2,0,2,0,0,3,0,0,0,1,8,18,2,8,2,2.1,3
1,qid:1034,0,1,0,0,0,5,0,0,1,0,8,16,0,8,1,2,3
0,qid:1035,0,0,0,0,2,5,0,1,0,2,4,14,1,5,2,1.4,2
1,qid:1035,0,0,1,2,0,3,0,0,0,0,7,14,1,5,1,2.4,3
1,qid:1036,1,0,0,0,1,6,0,0,0,0,5,13,0,5,1,1.4,2
0,qid:1036,0,1,0,0,0,5,1,0,0,1,6,16,1,7,1,1.4,2
0,qid:1037,1,0,0,2,1,5,0,0,0,0,9,20,1,9,4,2,3
1,qid:1037,1,0,0,1,2,4,0,0,0,0,5,13,0,7,3,1.6,3
0,qid:1038,0,2,0,1,1,1,0,0,0,0,7,13,0,5,2,1.4,2
1,qid:1038,1,0,0,1,0,4,0,0,0,0,5,12,1,5,1,1.4,2
1,qid:1039,0,0,1,1,0,1,0,0,0,2,2,8,1,1,1,1,1
0,qid:1039,0,0,0,1,1,6,0,0,0,0,7,16,1,6,2,1.7,3
1,qid:1040,0,0,0,0,1,5,0,0,0,0,3,9,0,3,1,1,1
0,qid:1040,0,1,0,0,2,1,0,0,0,1,3,8,0,3,1,1,1
1,qid:1041,0,0,1,2,2,5,1,1,0,1,8,23,1,12,4,1.6,4
0,qid:1041,4,0,0,5,0,2,0,0,1,2,6,20,0,10,2,1.7,3
0,qid:1042,1,0,0,0,1,5,0,1,1,0,8,21,4,10,1,2.2,3
1,qid:1042,1,1,0,1,1,1,0,0,0,0,5,10,0,4,1,2.3,3
0,qid:1043,2,1,0,1,1,3,0,0,0,0,6,20,3,9,3,2.2,3
1,qid:1043,0,0,0,0,1,1,0,0,0,0,3,6,0,2,0,1.5,2
1,qid:1044,1,1,0,0,1,3,0,0,0,0,4,11,1,5,1,1.8,2
0,qid:1044,1,1,0,1,0,7,0,0,0,1,4,15,0,6,1,2,3
1,qid:1045,0,0,0,0,3,4,0,0,0,0,4,12,1,6,1,1.5,2
0,qid:1045,0,0,0,1,4,0,0,0,2,1,2,10,0,3,2,1.7,2
0,qid:1046,0,0,0,0,2,2,0,0,0,1,1,6,0,2,1,1.5,2
1,qid:1046,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,qid:1047,0,0,0,1,0,2,0,0,0,0,2,5,0,1,0,1,1
1,qid:1047,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,qid:1048,0,0,0,0,0,4,0,0,2,1,3,12,1,5,2,2.2,2
1,qid:1048,0,0,0,0,1,1,0,0,0,0,2,5,1,2,0,1,1
0,qid:1049,0,0,0,0,4,2,0,0,0,1,3,10,0,1,2,1,1
1,qid:1049,0,0,0,2,1,0,0,0,0,0,3,7,0,3,1,2,3
0,qid:1050,0,1,0,1,1,1,0,0,0,1,2,7,0,1,1,1,1
1,qid:1050,0,0,0,0,0,2,0,0,0,0,1,3,0,1,0,1,1
0,qid:1051,0,1,0,1,3,3,1,0,0,2,8,22,1,10,1,2,4
1,qid:1051,0,0,0,1,0,1,0,0,0,1,1,4,0,1,1,1,1
1,qid:1052,0,0,0,0,1,1,0,0,0,0,3,6,0,2,0,1,1
0,qid:1052,0,0,0,0,1,2,0,0,0,1,3,7,0,2,1,1.5,2
1,qid:1053,0,0,0,1,1,1,0,0,0,1,2,6,0,1,1,1,1
0,qid:1053,0,0,0,1,3,2,0,0,1,0,3,10,0,3,2,1,1
1,qid:1054,0,0,0,0,1,3,0,0,0,0,1,5,0,1,0,1,1
0,qid:1054,0,0,0,0,1,5,0,0,0,2,2,10,0,3,1,1.3,2
1,qid:1055,0,0,0,0,1,2,0,0,0,1,1,5,0,0,1,0,0
0,qid:1055,0,0,0,0,0,2,0,0,0,2,2,8,1,2,1,1.5,2
