class,pairs,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16
1,qid:1,0,1,0,1,2,3,0,1,0,2,3,13,6,1,2.5,3
0,qid:1,3,4,0,2,0,0,0,0,1,1,3,14,6,1,1.8,2
1,qid:2,1,0,0,0,3,5,0,0,1,0,7,17,8,3,2,2
0,qid:2,0,1,0,1,3,6,0,0,1,2,7,21,9,2,2.2,4
0,qid:3,1,2,4,1,1,2,0,0,1,1,8,21,10,5,1.4,3
1,qid:3,1,2,0,1,0,5,0,0,0,0,8,20,8,2,2.5,4
0,qid:4,1,2,0,3,1,2,0,0,0,3,6,18,7,4,1.1,2
1,qid:4,1,0,1,3,6,1,0,0,1,1,8,22,8,3,1.4,2
0,qid:5,2,1,0,2,1,4,0,0,0,5,8,23,9,3,2.4,3
1,qid:5,0,1,0,1,1,1,0,0,0,0,2,6,3,1,1.7,2
1,qid:6,1,0,0,2,1,0,0,1,0,0,2,7,2,0,1,1
0,qid:6,2,2,1,1,0,3,0,0,0,1,9,22,11,2,2.3,4
0,qid:7,1,1,2,3,1,2,0,1,1,3,6,21,9,0,2.2,3
1,qid:7,0,0,2,1,4,3,0,0,2,1,5,18,11,2,2.4,3
1,qid:8,0,1,0,1,2,1,0,0,1,0,4,11,4,1,1.5,2
0,qid:8,3,0,1,2,0,5,0,1,0,0,8,20,7,1,1.9,3
0,qid:9,4,1,0,1,0,2,0,0,0,0,7,16,5,1,2.2,2
1,qid:9,1,0,0,1,0,0,0,0,0,0,2,7,2,0,1.5,2
1,qid:10,0,1,1,2,0,1,0,0,0,1,4,11,3,1,2,3
0,qid:10,0,1,0,1,3,4,0,0,1,1,4,16,8,2,1.8,3
0,qid:11,0,1,0,1,2,2,0,1,0,1,4,12,5,1,1.2,2
1,qid:11,0,0,0,1,2,6,0,0,0,0,9,18,8,3,1.8,2
0,qid:12,2,1,0,1,3,4,0,0,0,0,12,23,11,2,1.9,3
1,qid:12,0,1,3,3,0,3,0,0,2,1,4,17,9,3,1.7,3
1,qid:13,2,1,2,1,3,2,0,0,1,1,8,22,10,3,1.5,2
0,qid:13,0,0,2,0,2,4,0,2,0,1,6,17,7,2,1.7,2
1,qid:14,0,1,1,0,2,1,0,0,0,1,3,9,5,1,1.8,2
0,qid:14,0,1,2,1,2,2,0,2,0,0,6,16,5,1,1.2,2
0,qid:15,2,0,3,1,2,4,0,1,0,0,6,22,9,2,2.8,4
1,qid:15,0,0,1,5,1,1,0,0,0,2,3,13,6,1,2.7,3
0,qid:16,2,1,2,3,2,2,0,0,0,1,8,21,10,2,2.5,4
1,qid:16,0,1,0,1,2,3,0,0,0,2,4,13,8,1,2.8,3
1,qid:17,2,1,2,2,1,1,0,1,1,0,5,16,7,2,2,2
0,qid:17,0,1,2,2,2,1,1,0,0,1,3,13,6,1,1.8,2
1,qid:18,1,0,2,0,0,1,0,0,0,0,3,7,3,0,2,3
0,qid:18,0,2,2,1,0,1,0,1,0,0,6,14,6,2,1.7,2
1,qid:19,1,0,1,2,1,6,0,0,0,1,9,21,11,2,2.5,2
0,qid:19,0,0,2,0,2,2,0,1,0,0,4,12,4,1,1.8,2
1,qid:20,0,1,1,1,2,0,0,0,0,0,3,8,4,1,1.8,3
0,qid:20,0,1,0,4,2,2,0,0,0,3,6,18,8,3,1.4,2
1,qid:21,0,1,2,1,1,4,0,0,1,0,4,14,6,2,1.2,2
0,qid:21,1,3,3,2,2,3,0,0,1,2,6,23,10,3,2.5,3
0,qid:22,0,0,1,2,3,4,0,0,0,3,6,19,8,0,2.5,3
1,qid:22,1,0,0,0,3,4,0,0,0,0,8,16,7,2,2.6,3
1,qid:23,2,0,0,0,3,3,0,0,0,0,5,13,5,1,1.8,2
0,qid:23,2,0,4,4,2,1,0,1,0,1,5,20,10,2,2.3,3
1,qid:24,1,1,0,1,0,1,0,0,0,1,5,13,4,1,1.3,2
0,qid:24,2,1,2,0,1,1,0,0,0,0,5,13,6,2,2,2
0,qid:25,0,1,0,2,3,1,0,0,1,0,7,15,6,3,1.2,2
1,qid:25,0,1,1,0,1,1,0,0,0,0,3,7,2,0,1,1
0,qid:26,0,2,0,2,1,4,0,0,0,1,8,18,8,2,1.9,3
1,qid:26,0,0,0,2,1,3,0,0,1,0,7,14,5,2,1.6,2
1,qid:27,0,0,1,1,3,6,0,0,0,1,5,17,7,4,1.9,3
0,qid:27,1,0,1,0,2,7,0,0,0,3,8,22,8,4,1.8,3
1,qid:28,0,0,1,2,2,4,0,0,1,1,5,17,7,1,2.3,3
0,qid:28,2,4,0,0,2,3,0,2,0,0,6,19,9,4,2.3,3
1,qid:29,1,0,0,0,1,5,0,0,1,0,5,13,6,2,2,2
0,qid:29,0,0,0,2,1,7,0,0,1,1,6,18,10,2,2.3,3
1,qid:30,0,0,0,0,0,5,0,0,0,0,5,11,3,0,2,3
0,qid:30,0,0,1,1,3,1,2,0,1,0,5,15,6,1,2.2,3
0,qid:31,2,0,2,1,2,4,0,0,0,1,9,21,10,4,1.6,3
1,qid:31,1,0,1,1,0,5,0,0,0,2,6,16,4,4,1.3,2
1,qid:32,1,1,1,1,0,1,0,0,0,0,3,9,4,2,2,3
0,qid:32,3,1,2,3,0,0,0,0,1,2,4,18,8,0,2.9,4
1,qid:33,0,0,0,1,2,1,0,0,0,0,3,7,3,1,2,3
0,qid:33,0,1,0,1,0,3,0,0,0,2,3,10,4,2,1.3,2
0,qid:34,0,1,3,0,3,1,0,0,1,1,7,18,8,2,2.8,4
1,qid:34,0,0,1,3,1,4,0,0,1,2,5,17,9,2,2.1,2
1,qid:35,0,2,0,2,0,2,0,0,0,3,2,11,4,2,1.3,2
