target	text
1	見のがされやすいが、ほんとうに危険なのはこの“新しい現象”にほかならない。
0	あからさまな実名報道、いかにもいかがわしくしつらえられた印象キャンペーンの毒牙によって。
1	あと、いくつかの問題が残っておるが、一度に、何から何まで聞き出すわけにはいかん。
0	あなたは一見優しい人みたいですが、奥様からすると、あなたと生活するのにストレスを感じているのかもしれないです。
0	あまり立ち入って紹介する気の起きない内容に転じていくので、見出しの羅列によって推移を見守りたい。
1	あるとき、シッダールタ太子は宮殿の東の門から出て郊外に遊観しようとします。
0	いかに穏やかな人であっても触れてはいけない部分を土足で踏みつけられたら怒ります。
1	いま老後不安が増えている理由として低金利の経済状況が続いていることが考えられるからです。
0	いや弱みという言葉が理解しにくいならば、いちばん大事なものをあなたに託していると言えばいいでしょうか。
1	おそらく雛にやるためでしょう。
1	お得意のイメージの袋叩きである。
0	かつてコンゴや南米の圧政を指弾したゲバラは、いまやその言葉を実践の中で証明しようとしていた。
0	かつてのテレビがそうであったように、この分野でも青少年の斬新な発想による活躍が期待される。
1	その結果、戦争によって平和が確立することはむずかしく、いつまでも戦争が繰り返されることになる。
1	キューバ革命の成功を他の国で許してはならない。
0	けだしそれは家の使用貸借であって、その庭の植木の使用貸借ではないからである。
0	ゲバラはゲリラたちを一人前の革命戦士へと訓練する腹づもりだった。
1	ゲバラはボリビアの建国者シモン。
1	ゲバラは既に伝説的存在になっていたのだ。
0	この「おはぎ」がおいしいお店といえば、「おた福屋」が頭に浮かんでくる。
0	この点での研究はいまだ不十分であると言わなければならない。
1	この方法にもいろいろありますが、私が使っている二つの方法を述べます。
0	この方法は短時間で深い催眠に入りますので好都合ですが、あまり体重がある人には無理です。
1	この奇妙な“事件”をめぐる、ほんとうに裁かれねばならない犯罪は、まさにそこにこそ存在する。
1	この取調べにおいて警察の拷問を受けた、と小松氏が告発している事実は、どのマスコミも取り上げようとしない。
0	これからの取組は、その経験と反省の上に立っていかねばなるまい。
1	これでは、厳しい国際競争に勝てるはずはない。
0	これまでの取組の利点も問題点も十分に理解しうるはずである。
0	これを契機に小林夫妻は、山室を頼って大正七年歳末に帰国、救世軍士官学校へ入学した。
1	さて、とりあえずＡ氏の体験と、この引用を比較対照してみよう。
0	さらに、決算をめぐる政策評価の問題、首長の政治のスタンスとの関係も対象とならなければならない。
1	しかし、私は、このような判断の仕方には到底賛成することができない。
1	しかし借主が支出したあらゆる場合の有益費の償還を請求しうるわけではない。
0	したがって、いろいろな関係部門、団体等と調整しなければならないことは言うまでもない。
1	したがってそれは借主の負担ではない。
0	ジャスパーが例の“能力”を発揮してこの場をコントロールしているにちがいない。
1	すなわち、この諺は草深いところにも立派な人がいるものだというほどの意味だ。
0	スペイン語には男性名詞と女性名詞というものがあります。
1	そういう連中はきっと紅葉などを持ち上げる。
0	そうすれば相手も追い込まれることはなく、ふだんと同じようにつき合ってくれるでしょう。
1	そこからくる緊張感と倫理感を持ったものであるわけですよ。
0	そして、被告人の供述するような事実の有無について必ず取調官の説明を求めるという方針を貫いた。
0	そして、動機をはっきりさせるためには、自分の、そして家族の人生プランをはっきりさせなければなりません。
1	そしてそこへ、どこからか小鳥がやって来て、その虫をついばみました。
1	そしてその原因の一番手ともいえるのが陰口です。
0	そして主観や犯意等心理、感覚的なものを確認しない限り犯罪が法的に成立しにくいこと。
1	そのカーシー産の衣類を、シッダールタ太子は着用していたのです。
0	その後、アマラ州の族長もポンプを導入することになった。
0	その基本とも言えるのが相手を追い込まないことだと考えます。
1	その日は農耕祭でした。
0	その土の中から、冬眠を破られた小さな虫が顔をのぞかせました。
1	それがそうではなかったから、いつの間にか知らない間に広まった。
1	それから気が狂ったようになり、その石人形を祀るとよくなった。
0	それが原因で風邪を引いたり、体の節々を痛くなったりもしているのに、一向に直りません。
1	それについて、八重山全体をカバーした詳細な研究報告は今のところないようである。
0	それに立ち向かえるのは、打撃を受けながら、不屈の気概を持ち、臨機応変に対応する人間である。
1	それはそこに身ぶりをもった世界を読むことですね。
0	それは人からあることを聞いたときに、その状況も同時に聞いておくことです。
1	それは太子が十二歳の春でした。
0	それゆえに、久高島の民俗宗教についての研究報告はかなりの数にのぼる。
0	それを忘れていたずらに結果だけを追い求め、プロセスの味を味わわずに過ごしている人が多い。
1	そんな気持ちでいたのに騎乗停止になり乗れなくなってしまいました。
1	だが、ゲバラの目論見は早々に崩れ始めた。
0	だが、ドブレは帰途政府軍に逮捕・拘留され、ボリビア政府は世界中から非難されることになる。
1	だが、小鳥は遠くまで飛べません。
0	ちなみに答えてくださった、あなたの年齢も教えて下さい。
0	つまり、長尾氏は、みずからの利害のためにも蒸発しなければならぬ理由を明白に持っていた。
1	ところが地図に関する基礎的な知識を持っている人でも、地図が読めないことがあります。
1	どんな人でも追い込まれれば対抗心を燃やします。
0	なお、家レベルで担われている民俗宗教といっても、その内容は実に多岐にわたる。
1	なぜなら周りが私を徹底的に叩いたと思います。
0	ヌマオオヤマネコはその後何時間も、見失った獲物を探しまわっていた。
0	のスローガンを掲げたゲバラは、緒戦の勝利も関わらず、山中で苦闘を続けていた。
1	そのうち、偶然の機会から死体が発見されたので、地図を正確に書き直させられた。
0	まさに乱開発が自然体系を崩壊させたのである。
1	まして競争社会にいる人間ならば、お互いの人間性を尊重できなければ相手を排除するしかないでしょう。
1	また、青少年の保護という視点も新たな意味付けを求められている。
0	そうした言葉にあらわれているのは、いま現在われわれのしているのは繰りかえしにすぎないという意識ですね。
1	また、沖縄の民俗宗教で重要な位置を占めるオナリ神信仰についても割愛せざるを得なかった。
0	また、大胆にいってしまえば、その方が多くの関係者にとってもありがたかったはずである。
1	またいつも葉が茂っている常緑樹がおすすめです。
0	また物を第三者の侵害にたいして守るための必要の費用は通常の必要費ではない。
1	また植木の使用貸借と認められる場合にも、それは通常の必要費と認むべきではない。
0	マンションならばベランダや家中に花を飾るスペースを設けて、エクステリアと同様に考えていただければよいでしょう。
1	もしあなたが優位に立った場合にも、それを周りにひけらかさずに接しなければいけません。
0	もしわれわれが有利な地位を確保しないで日本を撤退すれば、日本は、必ずや早晩ソ連に掌握されるであろう。
1	もし何かがうまくいかなければ、飛行機は飛ぶどころか墜落してしまう。
0	もちろんアマラ地方の族長は、ポンプ新設にともなうアマラ州の苦境をバグダード政府に訴えた。
0	らに浪費や諸支出のために高利貸しに苦しむ族長もいて、農業投資は問題外であった。
1	北海道の川といえば、多くの人は広大な湿原や、平野部を悠々と流れる川を思い浮かべるかもしれない。
1	彼はそのような環境に育ち、そして勉学に励み、また武道の修練をしていました。
0	彼らにとっては、サリンはまったく未知の化学物質である。
0	彼女が出てきたら、ふたりはジープでうちに帰ってカーライルに状況を説明するんだ。
1	編隊の僚機はそれぞれ連絡を試みたが、いずれも成功しなかった。
0	伯母さんはいつも持ち歩いている大きな袋にウサギをさっとつっこんで、小屋にもどってきた。
1	不自由な体で、学習にスポーツに、そして係活動に毎日熱心に取り組んだ。
1	池内にもらった問題集で勉強しているというのだが、その返事も不安げであった。
0	沖縄の家・屋敷は、人間にとっての単なる居住空間であるにとどまらない。
1	此の立場から考へて、私は二つの大なる問題を提供するのである。
0	従来の基本である原価会計というか、過去の取得原価を尊重するという方針から大転換したのである。
0	地図は、私たちが街を移動するときにとても役に立ちます。
1	冬に葉を落とす落葉樹を選んでください。
1	動物の使用貸借では借主は飼養費を負担する。
0	多くの人々の働きによって自分の仕事が出来るのである。
0	仏典には年齢の記載はありませんが、わたしは十二歳のときと推定しておきます。
1	負傷兵や病人を抱え、その歩も遅々としたものになっていた。
1	感謝の心がない、あるいは薄いのは、欠陥人間といえよう。
0	感謝の心の深い人は、友に恵まれ、幸運に恵まれ、満ち足りた人生を送ることが出来るであろう。
1	高い人口密度と不十分な社会サービスのためルサファ地区の居住条件は悪く、改善のために再開発もはじまった。
0	高まる説明を求める声に応えて、カストロは４月１日付のカストロ宛の手紙を読み上げた。
1	共に生きる喜びがふつふつと湧いてきます。
0	共産党の支援が得られないまま、ゲバラは訓練を開始した。
1	古代からこの土地は織物の産地でした。
